Silica content,Reactive agg. percentage,Average size of reactive agg.,w / c,Alkali content,Temperature dependent type,Temperature,Relative humidity,Area of specimen section,Length,Time,ASR expansion
50.4,0.3,0.71,0.5,20,2,60,100,400,160,7.47994,0.04837
50.4,0.3,0.71,0.5,20,2,60,100,400,160,46.37401,0.29293
50.4,0.3,0.71,0.5,20,2,60,100,400,160,62.3871,0.68498
50.4,0.3,0.71,0.5,20,2,60,100,400,160,84.38264,1.12003
50.4,0.3,0.71,0.5,20,2,60,100,400,160,105.6857,1.31346
50.4,0.3,0.71,0.5,20,2,60,100,400,160,126.2874,1.30286
50.4,0.3,0.71,0.5,20,2,60,100,400,160,146.1338,1.3191
50.4,0.3,0.71,0.5,20,2,60,100,400,160,186.9502,1.35159
50.4,0.3,0.71,0.5,20,2,60,100,400,160,215.0413,1.34641
50.4,0.3,0.71,0.5,20,2,60,100,400,160,237.887,1.34925
50.4,0.3,0.71,0.5,20,2,60,100,400,160,258.8595,1.35476
50.4,0.3,0.71,0.5,20,2,60,100,400,160,305.6759,1.35507
50.4,0.3,0.71,0.5,20,2,60,100,400,160,328.8956,1.3606
50.4,0.3,0.71,0.5,20,2,60,100,400,160,356.6122,1.35541
6.9,0.3,0.71,0.5,20,2,60,100,400,160,15.70015,0.13165
6.9,0.3,0.71,0.5,20,2,60,100,400,160,50.08224,0.45134
6.9,0.3,0.71,0.5,20,2,60,100,400,160,63.93299,0.48097
6.9,0.3,0.71,0.5,20,2,60,100,400,160,78.15952,0.50522
6.9,0.3,0.71,0.5,20,2,60,100,400,160,92.01278,0.52411
6.9,0.3,0.71,0.5,20,2,60,100,400,160,106.9903,0.54032
6.9,0.3,0.71,0.5,20,2,60,100,400,160,120.0963,0.55114
6.9,0.3,0.71,0.5,20,2,60,100,400,160,135.4477,0.57004
6.9,0.3,0.71,0.5,20,2,60,100,400,160,150.4277,0.57551
6.9,0.3,0.71,0.5,20,2,60,100,400,160,169.1518,0.58637
6.9,0.3,0.71,0.5,20,2,60,100,400,160,225.3258,0.61091
6.9,0.3,0.71,0.5,20,2,60,100,400,160,241.4306,0.61102
6.9,0.3,0.71,0.5,20,2,60,100,400,160,254.538,0.61647
6.9,0.3,0.71,0.5,20,2,60,100,400,160,269.5186,0.61926
6.9,0.3,0.71,0.5,20,2,60,100,400,160,290.865,0.62746
